Media Source,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago
@CBSNews,Sun Jun 10 03:33:04 +0000 2018,Search teams find body of woman missing in suspected alligator attack https://t.co/Vqan85O0Jw https://t.co/UV73wUMQsv,-0.7351,0.0,0.581,0.419,15
@CBSNews,Sun Jun 10 03:18:04 +0000 2018,Video of TSA agents searching 96-year-old woman in wheelchair sparks outrage https://t.co/sUOKr00M3s https://t.co/XbmFluG6tG,-0.5106,0.0,0.784,0.216,16
@CBSNews,Sun Jun 10 03:03:04 +0000 2018,Pay Attention: Exploring how forest bathing benefits both body and mind https://t.co/L0PTY4iaIi https://t.co/azVqCPdsmI,0.296,0.173,0.733,0.093,17
@CBSNews,Sun Jun 10 02:48:06 +0000 2018,Group photo masks underlying tension at G-7 summit https://t.co/IxzFNmmTMG https://t.co/pQjYlFa7kW,-0.3182,0.0,0.796,0.204,18
@CBSNews,Sun Jun 10 02:40:10 +0000 2018,"He risked his life, traveling thousands of miles to cross the U.S. border, but his journey is far from over. Stream… https://t.co/4iVsuvmx32",-0.1154,0.0,0.935,0.065,19
@CBSNews,Sun Jun 10 02:33:04 +0000 2018,Meghan Markle joins Trooping the Color ceremony to celebrate Queen Elizabeth II's birthday https://t.co/RdN9tiKJJl https://t.co/aSUkB6cbzQ,0.5719,0.209,0.791,0.0,20
@CBSNews,Sun Jun 10 02:18:04 +0000 2018,"Mother, her boyfriend sentenced in boy's ""beyond animalistic"" child abuse death https://t.co/gmAJYKjHqm https://t.co/nAVwq2BAL1",-0.8481,0.0,0.521,0.479,21
@CBSNews,Sun Jun 10 02:03:04 +0000 2018,"President Trump says he may pardon Muhammad Ali, who does not need a pardon https://t.co/VwUVPwkYMQ https://t.co/RqRqj3eZbO",0.5574,0.261,0.739,0.0,22
@CBSNews,Sun Jun 10 01:48:07 +0000 2018,Inside the auto shop that only restores Volkswagen Beetles https://t.co/ilBA23EnQp https://t.co/FYsxQWD5fD,0.296,0.18,0.82,0.0,23
@CBSNews,Sun Jun 10 01:39:52 +0000 2018,"Anthony Bourdain famously championed for better treatment, respect and recognition of immigrant laborers in America… https://t.co/GgrSjMz2uG",0.802,0.387,0.613,0.0,24
@CBSNews,Sun Jun 10 01:39:52 +0000 2018,Farrah Fawcett's son has been charged with punching and stabbing five men in a violent spree last month… https://t.co/6UFD8r0m7u,-0.6908,0.0,0.737,0.263,25
@CBSNews,Sun Jun 10 01:33:05 +0000 2018,Best-selling vehicle ever making a comeback to U.S. https://t.co/CzgbOhJry2 https://t.co/cDFqBbYVGw,0.0,0.0,1.0,0.0,26
@CBSNews,Sun Jun 10 01:18:06 +0000 2018,"Racist, misogynistic messages show dark side of ""Star Wars"" fandom https://t.co/RG8Nq79JyV https://t.co/DJzWd6iOKU",-0.8225,0.0,0.568,0.432,27
@CBSNews,Sun Jun 10 01:03:04 +0000 2018,"With production of the VW beetle coming to an end, a family hobby will help keep the infamous car running… https://t.co/rSzoEc3mH8",0.4019,0.124,0.876,0.0,28
@CBSNews,Sun Jun 10 01:00:19 +0000 2018,Russian President Vladimir Putin was caught delicately crafting dumplings Friday during his visit to China https://t.co/9ZmXwfkcH2,0.1779,0.116,0.809,0.075,29
@CBSNews,Sun Jun 10 00:48:09 +0000 2018,"Trump departs for summit in Singapore, skipping G-7 environmental sessions https://t.co/FC1u9Ny5sK https://t.co/Veh2W3MFbE",0.0,0.0,1.0,0.0,30
@CBSNews,Sun Jun 10 00:39:53 +0000 2018,The Afghan Taliban announced a 3-day cease-fire for the Eid al-Fitr holiday at the end of the holy month of Ramadan… https://t.co/NLq7Qc8XhW,0.4019,0.119,0.881,0.0,31
@CBSNews,Sun Jun 10 00:33:05 +0000 2018,CBS correspondent David Begnaud reflects on Hurricane Maria coverage https://t.co/UebvutaUAL https://t.co/4td0QEKE22,0.0,0.0,1.0,0.0,32
@CBSNews,Sun Jun 10 00:19:48 +0000 2018,"""It is a myth that asking about suicide will cause someone to commit suicide"": Experts offer insight on interventio… https://t.co/C39yHeTW7Q",-0.5106,0.093,0.717,0.19,33
@CBSNews,Sun Jun 10 00:18:06 +0000 2018,"Salmonella outbreak linked to pre-cut melon, CDC says https://t.co/GMtu4dU8Dr https://t.co/johqZotKxx",0.0,0.0,1.0,0.0,34
@CBSNews,Sun Jun 10 00:04:30 +0000 2018,"President Trump retracted his endorsement of the G7 final statement, accusing Canadian Prime Minister Justin Trudea… https://t.co/FRTU8K4Rnn",0.1531,0.121,0.789,0.089,35
@CBSNews,Sun Jun 10 00:03:05 +0000 2018,Trump retracts his endorsement of G7 final statement https://t.co/o1t0LY1dio https://t.co/2ll3I6lfMC,0.3182,0.204,0.796,0.0,36
@CBSNews,Sat Jun 09 23:59:33 +0000 2018,"Electric cars are already here. Now, companies are looking to move the technology into another space: airplanes.… https://t.co/T10sEfg5Tp",0.0,0.0,1.0,0.0,37
@CBSNews,Sat Jun 09 23:48:04 +0000 2018,Anthony Bourdain’s death means loss of a voice for immigrant workers https://t.co/XR9rIRAIp3 https://t.co/7Cq0bRbWgq,-0.7351,0.0,0.617,0.383,38
@CBSNews,Sat Jun 09 23:39:36 +0000 2018,President Trump said it won't take long for him to tell if North Korean leader Kim Jong Un is serious about denucle… https://t.co/MM1ozFQocY,-0.0772,0.0,0.944,0.056,39
@CBSNews,Sat Jun 09 23:33:05 +0000 2018,Fire department issues warning about kids getting burned by garden hoses left in the sun https://t.co/26BU9veuDz https://t.co/P9MQ6pfCTF,-0.5859,0.0,0.758,0.242,40
@CBSNews,Sat Jun 09 23:18:06 +0000 2018,5 dangerous myths about Social Security https://t.co/GcxBxFGNsc https://t.co/Yw9A0upTPt,-0.1779,0.229,0.476,0.295,41
@CBSNews,Sat Jun 09 23:03:06 +0000 2018,"Andrew Lloyd Webber, iconic composer, reflects on his career and what makes a show endure https://t.co/yw9LYAJh82 https://t.co/7eOqGB13T0",0.0,0.0,1.0,0.0,42
@CBSNews,Sat Jun 09 23:00:28 +0000 2018,"He risked his life, traveling thousands of miles to cross the U.S. border, but his journey is far from over. Stream… https://t.co/LbX3HrY2W6",-0.1154,0.0,0.935,0.065,43
@CBSNews,Sat Jun 09 22:54:26 +0000 2018,"Justify wins the 150th Belmont Stakes, becoming the 13th horse in history to win the Triple Crown… https://t.co/hSAI2Li00E",0.8176,0.319,0.681,0.0,44
@CBSNews,Sat Jun 09 22:39:39 +0000 2018,The family in charge of the Singapore hotel hosting the U.S.-North Korea summit shares Trump-like ambition… https://t.co/2CrEnrgTDN,0.296,0.121,0.879,0.0,45
